,index,label,segment_path,video_class,video_name,dataset
11,857,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest026_x264/Arrest026_x264-seg16.mp4,Arrest,Arrest026_x264,ucfcrime
12,1480,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault029_x264/Assault029_x264-seg14.mp4,Assault,Assault029_x264,ucfcrime
13,111,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse046_x264/Abuse046_x264-seg11.mp4,Abuse,Abuse046_x264,ucfcrime
14,1377,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault033_x264/Assault033_x264-seg24.mp4,Assault,Assault033_x264,ucfcrime
15,2405,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery076_x264/Robbery076_x264-seg9.mp4,Robbery,Robbery076_x264,ucfcrime
16,1569,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault050_x264/Assault050_x264-seg19.mp4,Assault,Assault050_x264,ucfcrime
17,2643,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery020_x264/Robbery020_x264-seg26.mp4,Robbery,Robbery020_x264,ucfcrime
18,1811,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting014_x264/Fighting014_x264-seg20.mp4,Fighting,Fighting014_x264,ucfcrime
19,472,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse043_x264/Abuse043_x264-seg14.mp4,Abuse,Abuse043_x264,ucfcrime
20,803,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest021_x264/Arrest021_x264-seg7.mp4,Arrest,Arrest021_x264,ucfcrime
21,2370,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery003_x264/Robbery003_x264-seg20.mp4,Robbery,Robbery003_x264,ucfcrime
22,2282,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery100_x264/Robbery100_x264-seg13.mp4,Robbery,Robbery100_x264,ucfcrime
23,2974,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery062_x264/Robbery062_x264-seg12.mp4,Robbery,Robbery062_x264,ucfcrime
24,3208,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery033_x264/Robbery033_x264-seg10.mp4,Robbery,Robbery033_x264,ucfcrime
25,2073,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting007_x264/Fighting007_x264-seg20.mp4,Fighting,Fighting007_x264,ucfcrime
26,2037,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting004_x264/Fighting004_x264-seg17.mp4,Fighting,Fighting004_x264,ucfcrime
27,1691,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting008_x264/Fighting008_x264-seg17.mp4,Fighting,Fighting008_x264,ucfcrime
28,3169,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery006_x264/Robbery006_x264-seg8.mp4,Robbery,Robbery006_x264,ucfcrime
29,655,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest049_x264/Arrest049_x264-seg3.mp4,Arrest,Arrest049_x264,ucfcrime
30,1411,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault018_x264/Assault018_x264-seg9.mp4,Assault,Assault018_x264,ucfcrime
31,361,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse018_x264/Abuse018_x264-seg21.mp4,Abuse,Abuse018_x264,ucfcrime
32,135,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse024_x264/Abuse024_x264-seg3.mp4,Abuse,Abuse024_x264,ucfcrime
33,1487,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault024_x264/Assault024_x264-seg31.mp4,Assault,Assault024_x264,ucfcrime
34,2375,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery055_x264/Robbery055_x264-seg14.mp4,Robbery,Robbery055_x264,ucfcrime
35,3197,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery051_x264/Robbery051_x264-seg23.mp4,Robbery,Robbery051_x264,ucfcrime
36,2474,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery098_x264/Robbery098_x264-seg26.mp4,Robbery,Robbery098_x264,ucfcrime
37,366,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse035_x264/Abuse035_x264-seg25.mp4,Abuse,Abuse035_x264,ucfcrime
38,2345,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery090_x264/Robbery090_x264-seg0.mp4,Robbery,Robbery090_x264,ucfcrime
39,29,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse004_x264/Abuse004_x264-seg14.mp4,Abuse,Abuse004_x264,ucfcrime
40,2947,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery099_x264/Robbery099_x264-seg18.mp4,Robbery,Robbery099_x264,ucfcrime
41,22,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse027_x264/Abuse027_x264-seg1.mp4,Abuse,Abuse027_x264,ucfcrime
42,1261,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault025_x264/Assault025_x264-seg27.mp4,Assault,Assault025_x264,ucfcrime
43,1073,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault015_x264/Assault015_x264-seg18.mp4,Assault,Assault015_x264,ucfcrime
44,2522,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery038_x264/Robbery038_x264-seg13.mp4,Robbery,Robbery038_x264,ucfcrime
45,695,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest035_x264/Arrest035_x264-seg17.mp4,Arrest,Arrest035_x264,ucfcrime
46,1117,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault005_x264/Assault005_x264-seg4.mp4,Assault,Assault005_x264,ucfcrime
47,700,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest023_x264/Arrest023_x264-seg14.mp4,Arrest,Arrest023_x264,ucfcrime
48,420,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse027_x264/Abuse027_x264-seg3.mp4,Abuse,Abuse027_x264,ucfcrime
49,682,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest005_x264/Arrest005_x264-seg11.mp4,Arrest,Arrest005_x264,ucfcrime
50,2329,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery016_x264/Robbery016_x264-seg13.mp4,Robbery,Robbery016_x264,ucfcrime
51,460,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse003_x264/Abuse003_x264-seg18.mp4,Abuse,Abuse003_x264,ucfcrime
52,43,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse006_x264/Abuse006_x264-seg21.mp4,Abuse,Abuse006_x264,ucfcrime
53,87,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse020_x264/Abuse020_x264-seg23.mp4,Abuse,Abuse020_x264,ucfcrime
54,2418,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery035_x264/Robbery035_x264-seg13.mp4,Robbery,Robbery035_x264,ucfcrime
55,2700,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery105_x264/Robbery105_x264-seg8.mp4,Robbery,Robbery105_x264,ucfcrime
56,1545,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault044_x264/Assault044_x264-seg19.mp4,Assault,Assault044_x264,ucfcrime
57,561,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse050_x264/Abuse050_x264-seg30.mp4,Abuse,Abuse050_x264,ucfcrime
58,282,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse038_x264/Abuse038_x264-seg22.mp4,Abuse,Abuse038_x264,ucfcrime
59,810,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest025_x264/Arrest025_x264-seg11.mp4,Arrest,Arrest025_x264,ucfcrime
60,2321,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery057_x264/Robbery057_x264-seg16.mp4,Robbery,Robbery057_x264,ucfcrime
61,3190,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery041_x264/Robbery041_x264-seg14.mp4,Robbery,Robbery041_x264,ucfcrime
62,3113,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery008_x264/Robbery008_x264-seg8.mp4,Robbery,Robbery008_x264,ucfcrime
63,1992,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting011_x264/Fighting011_x264-seg10.mp4,Fighting,Fighting011_x264,ucfcrime
64,533,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse022_x264/Abuse022_x264-seg14.mp4,Abuse,Abuse022_x264,ucfcrime
65,1359,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault004_x264/Assault004_x264-seg24.mp4,Assault,Assault004_x264,ucfcrime
66,2682,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery107_x264/Robbery107_x264-seg20.mp4,Robbery,Robbery107_x264,ucfcrime
67,1278,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault032_x264/Assault032_x264-seg23.mp4,Assault,Assault032_x264,ucfcrime
68,1309,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault019_x264/Assault019_x264-seg7.mp4,Assault,Assault019_x264,ucfcrime
69,2580,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery086_x264/Robbery086_x264-seg25.mp4,Robbery,Robbery086_x264,ucfcrime
70,2692,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery054_x264/Robbery054_x264-seg27.mp4,Robbery,Robbery054_x264,ucfcrime
71,2316,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery098_x264/Robbery098_x264-seg8.mp4,Robbery,Robbery098_x264,ucfcrime
72,978,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest003_x264/Arrest003_x264-seg15.mp4,Arrest,Arrest003_x264,ucfcrime
73,3235,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery060_x264/Robbery060_x264-seg6.mp4,Robbery,Robbery060_x264,ucfcrime
74,1017,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault036_x264/Assault036_x264-seg2.mp4,Assault,Assault036_x264,ucfcrime
75,1310,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault032_x264/Assault032_x264-seg21.mp4,Assault,Assault032_x264,ucfcrime
76,1124,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault033_x264/Assault033_x264-seg8.mp4,Assault,Assault033_x264,ucfcrime
77,637,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest016_x264/Arrest016_x264-seg14.mp4,Arrest,Arrest016_x264,ucfcrime
78,907,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest026_x264/Arrest026_x264-seg23.mp4,Arrest,Arrest026_x264,ucfcrime
79,3124,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery027_x264/Robbery027_x264-seg25.mp4,Robbery,Robbery027_x264,ucfcrime
80,3083,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery025_x264/Robbery025_x264-seg11.mp4,Robbery,Robbery025_x264,ucfcrime
81,1406,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault013_x264/Assault013_x264-seg7.mp4,Assault,Assault013_x264,ucfcrime
82,2402,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery030_x264/Robbery030_x264-seg15.mp4,Robbery,Robbery030_x264,ucfcrime
83,2420,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery015_x264/Robbery015_x264-seg5.mp4,Robbery,Robbery015_x264,ucfcrime
84,1626,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting040_x264/Fighting040_x264-seg29.mp4,Fighting,Fighting040_x264,ucfcrime
85,1657,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting049_x264/Fighting049_x264-seg22.mp4,Fighting,Fighting049_x264,ucfcrime
86,221,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse008_x264/Abuse008_x264-seg10.mp4,Abuse,Abuse008_x264,ucfcrime
87,543,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse026_x264/Abuse026_x264-seg11.mp4,Abuse,Abuse026_x264,ucfcrime
88,1461,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault032_x264/Assault032_x264-seg11.mp4,Assault,Assault032_x264,ucfcrime
89,2348,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery081_x264/Robbery081_x264-seg7.mp4,Robbery,Robbery081_x264,ucfcrime
90,685,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest011_x264/Arrest011_x264-seg20.mp4,Arrest,Arrest011_x264,ucfcrime
91,2153,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting051_x264/Fighting051_x264-seg21.mp4,Fighting,Fighting051_x264,ucfcrime
92,874,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest023_x264/Arrest023_x264-seg6.mp4,Arrest,Arrest023_x264,ucfcrime
93,2025,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting004_x264/Fighting004_x264-seg26.mp4,Fighting,Fighting004_x264,ucfcrime
94,1255,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault048_x264/Assault048_x264-seg30.mp4,Assault,Assault048_x264,ucfcrime
95,3267,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery019_x264/Robbery019_x264-seg7.mp4,Robbery,Robbery019_x264,ucfcrime
96,2892,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery006_x264/Robbery006_x264-seg13.mp4,Robbery,Robbery006_x264,ucfcrime
97,3168,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery047_x264/Robbery047_x264-seg24.mp4,Robbery,Robbery047_x264,ucfcrime
98,1718,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting006_x264/Fighting006_x264-seg1.mp4,Fighting,Fighting006_x264,ucfcrime
99,2755,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery105_x264/Robbery105_x264-seg13.mp4,Robbery,Robbery105_x264,ucfcrime
100,2679,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery059_x264/Robbery059_x264-seg23.mp4,Robbery,Robbery059_x264,ucfcrime
101,1953,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting026_x264/Fighting026_x264-seg23.mp4,Fighting,Fighting026_x264,ucfcrime
102,272,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse045_x264/Abuse045_x264-seg10.mp4,Abuse,Abuse045_x264,ucfcrime
103,521,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse021_x264/Abuse021_x264-seg21.mp4,Abuse,Abuse021_x264,ucfcrime
104,522,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse009_x264/Abuse009_x264-seg16.mp4,Abuse,Abuse009_x264,ucfcrime
105,1833,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting027_x264/Fighting027_x264-seg4.mp4,Fighting,Fighting027_x264,ucfcrime
106,764,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest022_x264/Arrest022_x264-seg15.mp4,Arrest,Arrest022_x264,ucfcrime
107,2364,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery104_x264/Robbery104_x264-seg8.mp4,Robbery,Robbery104_x264,ucfcrime
108,350,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse005_x264/Abuse005_x264-seg9.mp4,Abuse,Abuse005_x264,ucfcrime
109,1105,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault040_x264/Assault040_x264-seg17.mp4,Assault,Assault040_x264,ucfcrime
110,1475,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault016_x264/Assault016_x264-seg16.mp4,Assault,Assault016_x264,ucfcrime
111,2283,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery090_x264/Robbery090_x264-seg1.mp4,Robbery,Robbery090_x264,ucfcrime
112,2535,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery097_x264/Robbery097_x264-seg22.mp4,Robbery,Robbery097_x264,ucfcrime
113,651,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest044_x264/Arrest044_x264-seg4.mp4,Arrest,Arrest044_x264,ucfcrime
114,2893,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery056_x264/Robbery056_x264-seg11.mp4,Robbery,Robbery056_x264,ucfcrime
115,1181,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault031_x264/Assault031_x264-seg16.mp4,Assault,Assault031_x264,ucfcrime
116,2833,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery091_x264/Robbery091_x264-seg14.mp4,Robbery,Robbery091_x264,ucfcrime
117,3041,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery060_x264/Robbery060_x264-seg18.mp4,Robbery,Robbery060_x264,ucfcrime
118,1271,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault035_x264/Assault035_x264-seg16.mp4,Assault,Assault035_x264,ucfcrime
119,2428,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery003_x264/Robbery003_x264-seg27.mp4,Robbery,Robbery003_x264,ucfcrime
120,1907,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting010_x264/Fighting010_x264-seg1.mp4,Fighting,Fighting010_x264,ucfcrime
121,1317,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault032_x264/Assault032_x264-seg6.mp4,Assault,Assault032_x264,ucfcrime
122,168,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse048_x264/Abuse048_x264-seg3.mp4,Abuse,Abuse048_x264,ucfcrime
123,2739,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery034_x264/Robbery034_x264-seg28.mp4,Robbery,Robbery034_x264,ucfcrime
124,1135,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault012_x264/Assault012_x264-seg24.mp4,Assault,Assault012_x264,ucfcrime
125,969,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest011_x264/Arrest011_x264-seg16.mp4,Arrest,Arrest011_x264,ucfcrime
126,1041,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault015_x264/Assault015_x264-seg3.mp4,Assault,Assault015_x264,ucfcrime
127,1003,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest041_x264/Arrest041_x264-seg4.mp4,Arrest,Arrest041_x264,ucfcrime
128,3240,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery031_x264/Robbery031_x264-seg10.mp4,Robbery,Robbery031_x264,ucfcrime
129,2980,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery023_x264/Robbery023_x264-seg19.mp4,Robbery,Robbery023_x264,ucfcrime
130,1620,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault029_x264/Assault029_x264-seg22.mp4,Assault,Assault029_x264,ucfcrime
131,2986,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery038_x264/Robbery038_x264-seg24.mp4,Robbery,Robbery038_x264,ucfcrime
132,2971,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery033_x264/Robbery033_x264-seg23.mp4,Robbery,Robbery033_x264,ucfcrime
133,2446,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery009_x264/Robbery009_x264-seg4.mp4,Robbery,Robbery009_x264,ucfcrime
134,219,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse006_x264/Abuse006_x264-seg20.mp4,Abuse,Abuse006_x264,ucfcrime
135,367,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse012_x264/Abuse012_x264-seg19.mp4,Abuse,Abuse012_x264,ucfcrime
136,2394,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery093_x264/Robbery093_x264-seg13.mp4,Robbery,Robbery093_x264,ucfcrime
137,549,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse045_x264/Abuse045_x264-seg15.mp4,Abuse,Abuse045_x264,ucfcrime
138,2493,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery032_x264/Robbery032_x264-seg9.mp4,Robbery,Robbery032_x264,ucfcrime
139,2342,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery035_x264/Robbery035_x264-seg14.mp4,Robbery,Robbery035_x264,ucfcrime
140,1583,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault003_x264/Assault003_x264-seg6.mp4,Assault,Assault003_x264,ucfcrime
141,351,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse004_x264/Abuse004_x264-seg7.mp4,Abuse,Abuse004_x264,ucfcrime
142,1376,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault015_x264/Assault015_x264-seg23.mp4,Assault,Assault015_x264,ucfcrime
143,772,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest031_x264/Arrest031_x264-seg23.mp4,Arrest,Arrest031_x264,ucfcrime
144,1374,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault046_x264/Assault046_x264-seg22.mp4,Assault,Assault046_x264,ucfcrime
145,2095,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting030_x264/Fighting030_x264-seg21.mp4,Fighting,Fighting030_x264,ucfcrime
146,490,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse004_x264/Abuse004_x264-seg28.mp4,Abuse,Abuse004_x264,ucfcrime
147,2938,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery060_x264/Robbery060_x264-seg4.mp4,Robbery,Robbery060_x264,ucfcrime
148,2594,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery028_x264/Robbery028_x264-seg8.mp4,Robbery,Robbery028_x264,ucfcrime
149,498,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse023_x264/Abuse023_x264-seg4.mp4,Abuse,Abuse023_x264,ucfcrime
150,1972,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting007_x264/Fighting007_x264-seg8.mp4,Fighting,Fighting007_x264,ucfcrime
151,210,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse042_x264/Abuse042_x264-seg14.mp4,Abuse,Abuse042_x264,ucfcrime
152,1731,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting004_x264/Fighting004_x264-seg31.mp4,Fighting,Fighting004_x264,ucfcrime
153,1606,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Assault/Assault015_x264/Assault015_x264-seg26.mp4,Assault,Assault015_x264,ucfcrime
154,650,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest046_x264/Arrest046_x264-seg11.mp4,Arrest,Arrest046_x264,ucfcrime
